XH,XFSJ,zao,zhong,wan
7455290,2018/11/7,0,6.5,0
7455290,2019/1/2,4,0,0
7455290,2019/3/1,0,0,7
7455290,2019/3/6,0,0,9.5
7455290,2019/3/7,0,7,0
7455290,2019/3/8,4.5,0,0
7455290,2019/3/9,5,0,0
7455290,2019/3/13,0,0,3
7455290,2019/3/14,5,0,0
7455290,2019/3/15,4,0,0
7455290,2019/3/16,4,0,0
7455290,2019/3/17,0,2.5,0
7455290,2019/3/18,4,0,0
7455290,2019/3/19,9.9,0,5
7455290,2019/3/20,4,2.5,0
7455290,2019/3/21,4,0,5
7455290,2019/3/22,4,0,0
7455290,2019/3/23,7.5,6,0
7455290,2019/3/24,0,4.5,0
7455290,2019/3/25,4,7,0
7455290,2019/3/27,5,0,0
7455290,2019/3/28,4,0,0
7455290,2019/3/29,0,9,8
7455290,2019/3/30,0,0,7.5
7455290,2019/3/31,9,0,0
7455290,2019/4/1,4,7.5,4
7455290,2019/4/4,0,0,6
7455290,2019/4/11,4,0,5
7455290,2019/4/12,4,0,0
7455290,2019/4/14,0,7.5,0
7455290,2019/4/20,0,5,0
7455290,2019/4/22,0,0,11
7455290,2019/4/23,4.5,0,0
7455290,2019/4/25,4,5.5,5.5
7455290,2019/4/26,6,0,8
7455290,2019/4/28,0,13.5,0
7455290,2019/5/8,6,3,0
7455290,2019/5/10,0,8,0
7455290,2019/5/15,0,11,0
7455290,2019/5/16,6,0,0
7455290,2019/5/22,0,0,8.5
7455290,2019/5/23,6.5,14.5,7
7455290,2019/5/25,0,0,8
7455290,2019/5/26,0,8,0
7455290,2019/5/27,4,8,0
7455290,2019/5/28,0,0,8
7455290,2019/5/29,6.5,0,8
7455290,2019/5/30,0,8,0
7455290,2019/6/2,0,8,0
7455290,2019/6/3,0,8,0
7455290,2019/6/10,0,6,0
7455290,2019/6/13,4,8,0
7455290,2019/6/16,0,0,8
7455290,2019/6/18,0,0,6
7455290,2019/6/19,0,8,0
7455290,2019/6/20,0,0,12
7455290,2019/6/21,0,0,13
7455290,2019/6/23,0,0,6.5
7455290,2019/6/29,8.5,0,0
7455290,2019/6/30,0,0,7
7455290,2019/9/17,6,0,10
7455290,2019/9/18,3,8,0
7455290,2019/9/19,5,6,7
7455290,2019/9/20,4,11,9
7455290,2019/9/21,0,0,8
7455290,2019/9/23,3,0,6
7455290,2019/9/24,3,0,6
7455290,2019/9/25,4,6,5
7455290,2019/9/26,3,6,6
7455290,2019/9/27,4,12,0
7455290,2019/9/28,0,9,6
7455290,2019/9/29,0,0,6
7455290,2019/9/30,3,6,6
7455290,2019/10/1,0,8,0
7455290,2019/10/7,0,0,6
7455290,2019/10/8,4.5,6,6
7455290,2019/10/9,3,0,0
7455290,2019/10/10,3,16,0
7455290,2019/10/11,2,0,8
7455290,2019/10/13,5,8,7
7455290,2019/10/14,6,6,0
7455290,2019/10/15,3.8,8,0
7455290,2019/10/16,4,9,0
7455290,2019/10/17,5,8,0
7455290,2019/10/18,4,7,0
7455290,2019/10/19,0,0,6
7455290,2019/10/20,0,0,14
7455290,2019/10/21,4.5,8,8.5
7455290,2019/10/22,4.2,0,9.5
7455290,2019/10/23,4,8,14
7455290,2019/10/24,4,0,0
7455290,2019/10/25,4,4.5,0
7455290,2019/10/26,6,0,0
7455290,2019/10/27,0,5.4,0
7455290,2019/10/28,4.5,7.5,0
7455290,2019/10/29,4,10,11.5
7455290,2019/10/30,4.5,12.5,0
7455290,2019/10/31,10.5,5,0
7455290,2019/11/1,4,0,0
7455290,2019/11/2,0,9,0
7455290,2019/11/3,3,0,0
7455290,2019/11/4,8.2,9,8
7455290,2019/11/5,0,10,6
7455290,2019/11/6,0,17,0
7455290,2019/11/7,0,19,0
7455290,2019/11/8,8,0,9
7455290,2019/11/10,0,0,5
7455290,2019/11/11,30,0,0
7455290,2019/11/12,30,0,0
7455290,2019/11/13,30,0,0
7455290,2019/11/14,30,0,0
7455290,2019/11/15,30,0,0
7455290,2019/11/16,37.5,0,0
7455290,2019/11/17,12,0,0
7455290,2019/11/18,0,9,0
7455290,2019/11/19,9,9,0
7455290,2019/11/26,0,8.5,5
7455290,2019/11/27,0,0,8
7455290,2019/11/29,0,0,9
7455290,2019/12/1,0,0,21
7455290,2019/12/2,0,8.5,0
7455290,2019/12/3,0,17,8
7455290,2019/12/4,0,8.5,9
7455290,2019/12/5,0,0,13
7455290,2019/12/6,0,0,9
7455290,2019/12/10,0,0,9
7455290,2019/12/11,0,8,18
7455290,2019/12/13,0,8,9
7455290,2019/12/18,0,7,8
7455290,2019/12/22,3,0,0
7455290,2019/12/24,0,0,13
7455290,2019/12/25,0,13,9
7455290,2019/12/26,0,13,0
7455290,2019/12/27,0,0,9
7455290,2019/12/28,0,0,13
7455290,2019/12/29,0,0,13
7455290,2019/12/30,0,8,13
7455290,2019/12/31,0,0,8
7455290,2020/1/6,0,3,0
7455290,2020/6/16,0,0,7
7455290,2020/6/25,0,0,8
7455290,2020/6/27,0,0,10
7455290,2020/6/28,3.5,10,10
7455290,2020/7/1,0,11,10
7455290,2020/7/2,0,0,20
7455290,2020/7/3,0,0,10
7455290,2020/7/4,4.8,0,0
7455290,2020/8/31,3.5,12,0
7455290,2020/9/1,20,0,0
7455290,2020/9/6,0,6,0
7455290,2020/9/7,0,6.4,0
7455290,2020/9/8,0,0,9.4
7455290,2020/9/9,0,6,0
7455290,2020/9/11,0,0,24
7455290,2020/9/13,0,17,7.4
7455290,2020/9/14,6,8.5,0
7455290,2020/9/15,0,8.5,10
7455290,2020/9/16,6,0,7.4
7455290,2020/9/17,0,0,10
7455290,2020/9/18,0,5,10
7455290,2020/9/19,0,12,0
7455290,2020/9/21,0,0,8
7455290,2020/9/22,0,0,8
7455290,2020/9/23,4,10,9
7455290,2020/9/24,0,30,11
7455290,2020/9/25,0,10,5
7455290,2020/9/26,0,17,18
7455290,2020/9/27,3.8,36,10
7455290,2020/9/28,4,0,8
7455290,2020/9/29,0,9,10
7455290,2020/9/30,8,0,0
7455290,2020/10/1,2.2,8,9
7455290,2020/10/6,0,9,0
7455290,2020/10/8,0,16,0
7455290,2020/10/9,4,0,10
7455290,2020/10/11,3.6,8,10
7455290,2020/10/12,4,8,5
7455290,2020/10/13,0,9,12
7455290,2020/10/14,4,0,0
7455290,2020/10/15,0,0,11
7455290,2020/10/16,0,18,0
7455290,2020/10/17,3.5,27,8
7455290,2020/10/19,3,10.5,0
7455290,2020/10/20,0,0,9.5
7455290,2020/10/21,0,18,0
7455290,2020/10/22,0,12,9.5
7455290,2020/10/23,12,0,0
7455290,2020/10/25,4.5,0,0
7455290,2020/10/26,3,10,0
7455290,2020/10/27,0,1.08,9.5
7455290,2020/10/28,3,0,0
7455290,2020/10/29,0,10,0
7455290,2020/10/30,3,0,10
7455290,2020/10/31,0,7,9.5
7455290,2020/11/1,0,26,0
7455290,2020/11/2,0,18,0
7455290,2020/11/3,0,8,10.5
7455290,2020/11/4,0,8,10
7455290,2020/11/5,0,12,9.5
7455290,2020/11/6,0,8,9
7455290,2020/11/9,0,10.5,0
