zao,zhong,wan,times,label
4.5,6.75,8.25,7,0
5.38,2.5,4.0,8,1
4.75,5.0,5.0,11,1
5.25,8.25,6.1,11,0
4.62,6.0,8.17,10,0
6.17,10.0,7.75,10,0
5.25,8.0,8.0,9,0
4.0,7.5,8.67,8,0
5.62,7.0,8.7,11,0
3.5,8.75,6.67,16,1
3.5,7.25,6.0,12,1
4.11,9.17,7.5,15,0
4.14,7.67,10.4,13,0
5.58,7.48,11.5,13,0
5.07,12.8,7.0,10,0
26.33,0.0,7.0,8,0
19.5,8.83,7.33,9,0
0.0,11.33,11.5,9,0
3.0,9.8,11.4,11,0
0.0,5.5,10.5,8,0
4.15,10.5,11.33,10,0
11.75,7.6,16.7,8,0
6.0,10.2,8.96,12,0
3.9,20.6,9.86,14,0
4.55,10.5,9.25,12,0
3.77,14.0,9.2,14,0
5.62,12.62,9.5,10,0
3.0,12.42,9.67,10,0
9.0,10.36,9.7,13,0
3.0,13.5,9.2,11,0
7.0,11.6,9.67,13,0
3.4,12.08,9.29,17,0
3.5,10.29,9.37,20,0
3.88,12.4,9.97,15,0
3.03,15.0,11.29,16,0
3.42,10.4,8.1,16,0
4.2,7.0,8.38,12,0
3.36,10.9,13.8,17,0
4.25,10.17,9.17,18,0
4.0,11.5,11.12,14,0
2.83,11.67,10.47,19,0
3.08,10.84,10.5,19,0
2.83,11.5,8.64,19,0
3.14,8.08,7.93,20,0
3.14,9.36,10.29,21,0
2.5,7.71,9.6,17,0
3.38,8.25,11.01,17,0
3.5,8.38,10.3,15,0
4.5,6.9,10.61,15,0
5.25,8.9,10.4,14,0
2.93,10.83,11.17,18,0
3.68,8.79,11.0,20,0
3.53,10.11,10.36,21,0
3.5,9.57,8.88,17,0
4.6,8.88,11.52,18,0
3.36,10.14,9.57,21,0
3.0,8.92,10.69,17,0
4.5,14.0,9.61,14,0
4.6,8.14,8.93,20,0
5.33,11.15,8.86,16,0
2.5,11.17,12.13,14,0
10.0,9.4,8.9,13,0
3.0,8.0,8.07,15,0
1.5,45.5,8.0,15,0
4.5,5.79,8.86,15,0
2.57,8.33,6.67,19,1
3.52,6.67,8.43,19,0
3.03,8.9,10.38,17,0
4.08,8.43,7.8,18,0
3.08,9.17,8.29,19,0
2.5,6.5,9.92,13,1
0.0,9.3,8.97,12,0
2.75,0.0,10.63,8,0
2.58,15.47,11.3,16,0
0.0,14.83,17.07,7,0
12.0,22.0,15.44,7,0
13.0,13.33,9.01,8,0
9.75,10.0,12.0,9,0
4.0,12.9,12.07,8,0
0.0,13.17,14.07,7,0
0.0,16.25,11.38,8,0
7.5,18.4,20.68,7,0
13.82,3.5,12.0,8,0
1.5,28.7,17.1,8,0
6.4,19.45,21.42,10,0
11.0,14.7,14.25,10,0
9.5,10.4,12.5,12,0
9.5,11.25,12.58,13,0
0.0,11.0,11.4,11,0
0.0,12.17,11.33,9,0
0.0,11.25,12.4,9,0
0.0,16.5,13.0,8,0
12.0,12.5,14.86,10,0
0.0,11.67,11.6,8,0
8.22,11.0,11.75,9,0
0.0,28.5,21.7,9,0
20.0,25.0,26.15,8,0
